bauxite_tonnage,excavator_bucket_m3,dumper_bucket_m3,fill_factor_excavator,fill_factor_dumper,working_days,shifts_per_day,hours_per_shift,total_hours_per_year,haul_distance_km,loaded_speed_kmph,empty_speed_kmph,trip_time_min,eff_machine_excavator,eff_machine_dumper,eff_human,eff_condition,excavators_bauxite,dumpers_bauxite
9413414,8.237528002,65.73226343,0.722916376,0.549987458,298,2,8,4768,1.169234737,31.65996317,47.54210836,8.691481172,0.837774668,0.800112583,0.742860045,0.895266542,2.892510303,7.433299507
6344769,6.198051453,51.71532658,0.64561457,0.805926447,290,2,7,4060,3.355527884,15.99021346,30.56937754,24.17698825,0.741848158,0.787643395,0.809908553,0.836820995,3.775837134,14.15134982
5652991,7.442460309,53.29243642,0.506632481,0.971100878,272,2,8,4352,1.723076398,30.49790556,34.39986631,11.39526876,0.868986465,0.815624951,0.704789876,0.769268148,3.554389189,5.389827942
7997895,5.128484861,30.49006746,0.877680705,0.712577937,316,2,7,4424,2.3492624,21.85450708,47.06635463,14.44456367,0.762382499,0.870310098,0.709393988,0.952685432,3.789313639,17.02871801
6047262,3.567862899,18.84431956,0.662665165,0.694338645,317,2,7,4438,2.628088249,14.22772675,42.08787923,19.82953038,0.78140471,0.948621253,0.807025998,0.784280353,5.664607858,28.6615162
4425472,8.177958154,31.89083293,0.502761059,0.907730714,294,2,6,3528,2.075397186,13.47607179,44.52413704,17.03713703,0.912057203,0.91870215,0.931381104,0.722213396,2.417380492,9.95533327
4079111,2.508466802,41.43349735,0.662591661,0.864803089,281,3,6,5058,3.139734362,32.82355146,32.4510879,16.54446489,0.891267241,0.966163823,0.841664478,0.735878274,4.27282395,5.185535375
9167294,6.181862635,51.34098656,0.512709563,0.553945713,283,2,8,4528,3.722699422,17.47876687,26.41531692,26.23482054,0.709428756,0.890923123,0.794306794,0.852571207,6.463262479,25.79532519
4213475,4.318011623,28.70380942,0.964848826,0.90406019,282,3,8,6768,3.677676995,26.18026726,42.29760621,18.6453674,0.890021127,0.961438177,0.941101623,0.755971018,1.147177328,5.449665622
9700379,2.880415396,34.37448882,0.713553894,0.909007383,294,2,7,4116,1.666323431,13.59596102,23.50460686,16.60721975,0.958219175,0.702085639,0.853224191,0.825223301,8.261663092,21.11546412
9457294,5.230689368,20.515841,0.626957707,0.623438031,301,3,6,5418,1.800343043,39.29844867,26.44148053,11.83399366,0.908891282,0.913681177,0.744426079,0.999322146,3.826724827,19.80038298
8595108,3.916495125,27.31606413,0.74472638,0.992825227,301,2,6,3612,3.184649046,21.03349398,35.29223322,19.49870038,0.772616581,0.901640664,0.928485885,0.771291263,7.167819724,22.08054969
6080389,2.72231816,86.00071213,0.660390032,0.593259255,291,2,8,4656,2.536279175,16.79487326,35.80691162,18.31083169,0.712232542,0.877267883,0.903269309,0.704976349,7.785758649,6.9915685
5311987,9.49383991,26.68928025,0.670533176,0.556736761,310,2,8,4960,3.451666601,26.65602435,31.18602313,19.4101458,0.977408085,0.963201806,0.777382488,0.897995214,1.198571642,17.3384414
